sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web.order,Gender.male,Address_is_res,Purchase,Spending,Partition
962,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2284,3822,1,0,0,1,271,s
964,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2799,2848,1,0,0,1,104,t
967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,216,1,0,0,1,8,v
969,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114,s
979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3222,3222,0,0,0,1,33,t
980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,220,2892,0,0,0,1,1227,t
993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2648,2648,0,0,0,1,46,t
994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,868,868,1,0,0,1,43,v
996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,442,2040,1,0,0,1,350,t
998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1130,3459,1,0,1,1,559,v
1006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1242,2107,0,0,1,1,165,s
1008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,469,2499,0,0,0,1,338,s
1025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,549,701,0,0,0,1,215,v
1026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2052,2457,1,0,0,1,355,v
1028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3360,3360,1,0,0,1,128,t
1033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1122,2681,0,0,1,1,425,s
1035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,534,2400,0,0,0,1,361,t
1053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3067,3067,0,0,0,1,229,v
1056,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,442,1134,0,0,0,1,138,v
1060,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1340,3045,1,0,0,1,262,v
1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,912,912,0,0,0,1,551,s
1064,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1379,2927,1,0,1,1,63,s
1068,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1261,1261,1,0,1,1,44,v
1069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1379,1401,0,0,1,1,193,s
1073,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3339,3356,1,0,0,1,38,v
1084,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2257,2263,1,0,0,1,264,s
1086,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1882,1933,1,0,1,1,4,t
1087,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3608,3608,1,0,0,1,22,t
1089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,490,2829,0,0,0,1,204,t
1098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,700,3215,1,0,1,1,438,t
1099,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,239,2296,1,0,0,1,1161,v
1107,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1109,1764,0,0,1,1,173,s
1109,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2327,2327,0,0,1,1,158,s
1116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,372,2383,0,0,0,1,149,v
1118,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,556,556,1,0,0,1,174,t
1136,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,360,3027,1,0,0,1,1305,v
1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,835,1091,1,0,0,1,241,v
1142,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3292,3292,0,0,0,1,128,v
1144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1619,1619,1,0,0,1,20,v
1146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2739,2739,0,0,0,1,8,v
1147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1877,2019,0,0,0,1,255,s
1149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3286,3286,1,0,0,1,128,v
1157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,456,456,1,0,1,1,306,v
1159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,134,134,0,0,0,1,163,s
1169,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,835,1715,0,0,1,1,56,s
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,437,616,0,0,0,1,114,v
1173,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2809,2841,0,0,0,1,191,t
1180,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,804,3027,1,0,0,1,303,v
1188,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,542,3125,0,0,0,1,578,t
1189,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,463,1949,0,0,0,1,412,t
1201,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,0,0,1,103,t
1215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1018,2984,1,0,0,1,405,s
1218,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2856,3069,0,0,0,1,78,v
1224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,1910,0,0,1,1,624,v
1226,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2318,2333,1,0,0,1,161,t
1228,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2838,2838,1,0,0,1,35,v
1231,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,408,3914,1,0,0,1,197,s
1234,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2817,2927,1,0,0,1,163,v
1239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,511,945,0,0,1,1,173,t
1243,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1521,1577,1,0,1,1,40,t
1252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1241,1311,1,0,1,1,255,s
1253,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,230,t
1256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3564,3564,1,0,1,1,128,v
1263,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,463,772,0,0,1,1,406,v
1264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3304,3304,0,0,0,1,129,t
1269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2274,2274,0,0,0,1,46,t
1273,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3426,3426,1,0,0,1,198,v
1274,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3243,3278,1,0,1,1,7,s
1275,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3883,3883,1,0,1,1,128,v
1276,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3353,3353,1,0,0,1,213,s
1279,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2527,2527,1,0,0,1,161,v
1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1758,1787,0,0,0,1,230,v
1286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,666,826,0,0,0,1,265,t
1287,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3605,3944,0,0,0,1,246,t
1294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2807,2807,1,0,0,1,54,v
1296,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1897,1897,0,0,0,1,165,v
1298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1969,2075,1,0,1,1,171,t
1321,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2235,2256,1,0,0,1,390,v
1324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1592,1652,1,0,1,1,40,t
1325,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,14,1235,1,0,1,1,303,s
1328,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2696,2696,0,0,0,1,230,t
1334,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2383,2383,0,0,0,1,161,s
1337,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1021,2355,1,0,0,1,182,v
1343,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3374,3453,1,0,0,1,130,t
1345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2719,2719,1,0,0,1,105,t
1353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,653,653,0,0,0,1,263,t
1361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3620,3650,1,0,0,1,72,t
1363,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2318,2318,0,0,0,1,85,t
1366,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,28,0,0,0,1,255,s
1373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,2478,0,0,0,1,429,s
1375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100,1100,1,0,0,1,164,v
1388,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2677,2677,0,0,0,1,161,v
1389,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,772,3120,0,0,0,1,551,s
1391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1261,1261,1,0,1,1,45,v
1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,255,255,1,0,0,1,244,s
1402,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2464,2464,0,0,0,1,35,v
1404,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2960,3103,0,0,1,1,160,v
1424,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3390,3390,0,0,1,1,98,s
1430,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1995,2010,1,0,1,1,117,s
1440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2955,2955,1,0,1,1,184,v
1448,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3791,3791,0,0,0,1,198,t
1450,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2599,2599,1,0,0,1,149,v
1455,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,520,3472,0,0,0,1,456,t
1459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,167,167,1,0,0,1,43,s
1469,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1149,3094,1,0,0,1,411,t
1470,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2213,2213,0,0,0,1,65,t
1476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2305,2305,0,0,0,1,161,s
1478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3600,3746,0,0,1,1,167,t
1485,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3052,3052,1,0,0,1,49,v
1486,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2456,3327,1,0,0,1,266,s
1488,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3615,3615,0,0,0,1,270,t
1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,976,976,1,0,0,1,54,t
1494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,469,469,0,0,1,1,163,s
1496,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3405,3675,0,0,0,1,131,s
1500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,79,3664,0,0,0,1,415,v
1507,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3615,3615,1,0,0,1,43,t
1516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3304,3304,0,0,0,1,140,t
1521,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2996,2996,1,0,0,1,34,v
1522,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1031,3852,1,0,1,1,214,t
1525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2934,2978,0,0,0,1,160,v
1526,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3768,3768,1,0,0,1,198,s
1531,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2348,3388,1,0,0,1,207,v
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,115,115,0,0,0,1,164,v
1533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1197,1253,1,0,0,1,213,s
1538,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3724,3760,1,0,0,1,38,s
1543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1240,2481,1,0,0,1,371,t
1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,973,973,1,0,1,1,243,v
1548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,463,616,1,0,1,1,302,s
1549,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3376,3391,0,0,1,1,132,v
1550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2289,2289,1,0,0,1,230,t
1551,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3464,3464,1,0,0,1,38,t
1553,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2831,2837,0,0,0,1,100,v
1559,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2578,2578,1,0,0,1,161,s
1562,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2233,2758,0,0,0,1,189,s
1566,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3241,3241,1,0,0,1,48,t
1572,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2278,2278,0,0,0,1,54,v
1574,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1836,4096,0,0,0,1,179,t
1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1646,1717,0,0,1,1,98,t
1583,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1868,2185,1,0,0,1,49,v
1584,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2467,2467,1,0,0,1,136,s
1585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1722,1745,0,0,1,1,439,s
1589,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2618,2618,0,0,0,1,130,s
1591,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1226,1240,0,0,1,1,40,t
1595,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,90,3747,0,0,0,1,399,t
1597,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3311,3311,0,0,0,1,68,s
1599,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2310,2310,1,0,0,1,136,t
1600,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,245,2607,1,0,0,1,655,s
1602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,77,1169,0,0,1,1,407,v
1604,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2690,2690,1,0,0,1,163,v
1605,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2829,2829,0,0,1,1,185,t
1608,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2499,2499,1,0,0,1,85,t
1610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1863,2186,1,0,0,1,136,s
1615,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1400,1746,1,0,1,1,63,t
1616,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3611,3914,0,0,0,1,173,v
1619,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1143,2607,1,0,0,1,1123,v
1621,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2807,2807,0,0,1,1,60,t
1631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2996,2996,0,0,0,1,150,t
1632,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4188,4188,0,0,0,1,127,v
1634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1646,1709,0,0,1,1,167,s
1649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,164,164,0,0,0,1,135,v
1656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2466,2632,0,0,0,1,274,v
1661,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1976,2834,1,0,0,1,67,s
1665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2128,3013,1,0,0,1,80,s
1668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1563,1568,0,0,0,1,463,v
1671,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2936,2936,1,0,0,1,66,t
1677,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,260,260,0,0,0,1,148,s
1678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,526,526,1,0,0,1,280,t
1679,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3360,3694,0,0,1,1,247,t
1688,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1115,2005,1,0,0,1,390,v
1690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1128,1128,0,0,1,1,44,v
1692,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1123,1242,1,0,0,1,399,t
1693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1823,1849,0,0,0,1,230,v
1700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,434,463,1,0,0,1,184,s
1704,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1710,3668,1,0,1,1,213,v
1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1850,1850,1,0,0,1,136,v
1714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1577,2081,1,0,1,1,588,s
1717,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2787,2787,0,0,0,1,4,v
1721,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2417,2417,0,0,0,1,85,v
1726,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3583,3747,1,0,0,1,43,s
1727,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,216,4065,1,0,1,1,378,s
1734,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2446,2478,0,0,1,1,100,t
1744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3243,3243,1,0,0,1,252,s
1748,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,192,3207,0,0,0,1,1133,s
1753,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2634,2634,1,0,0,1,74,s
1755,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3229,3229,0,0,0,1,136,t
1759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3496,3496,0,0,0,1,3,t
1760,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,644,3188,1,0,1,1,260,v
1766,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,91,4096,0,0,0,1,1326,t
1775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3523,4096,1,0,1,1,98,s
1785,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4127,4127,0,0,0,1,35,s
1802,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,470,3194,1,0,1,1,242,t
1808,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,721,1484,1,0,0,1,83,v
1809,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3354,3355,1,0,0,1,345,t
1818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3276,3311,1,0,0,1,140,v
1821,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1962,1976,1,0,1,1,138,t
1827,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,744,825,0,0,1,1,163,v
1829,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4005,4005,1,0,0,1,43,s
1832,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2158,2158,1,0,0,1,10,t
1839,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2257,2257,1,0,0,1,130,v
1853,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3662,3691,1,0,0,1,128,s
1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1073,1073,1,0,0,1,105,t
1865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2143,2897,1,0,1,1,242,v
1867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1170,3405,1,0,0,1,598,v
1875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3340,3342,0,0,0,1,199,s
1881,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1646,1717,0,0,1,1,130,v
1883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1739,1849,0,0,1,1,58,t
1885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,479,0,0,0,1,142,v
1888,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3312,3312,0,0,0,1,132,s
1893,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1226,1240,0,0,1,1,104,t
1898,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3276,3340,0,0,0,1,128,t
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1135,1387,0,0,0,1,272,t
1906,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1123,1226,0,0,1,1,217,v
1910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4036,4036,1,0,0,1,30,s
1911,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,841,2088,0,0,1,1,44,s
1920,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2296,2564,1,0,0,1,514,v
1929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1639,2737,1,0,0,1,563,v
1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,359,359,0,0,0,1,43,t
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,519,1066,0,0,0,1,154,t
1951,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1000,3174,0,0,0,1,80,t
1954,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1899,2345,1,0,0,1,248,s
1958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,491,2984,1,0,1,1,259,t
1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012,2046,0,0,1,1,35,t
1966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2165,2310,1,0,0,1,138,v
1969,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2837,3272,0,0,1,1,160,v
1972,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3541,3541,1,0,1,1,101,t
1973,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,939,1746,0,0,0,1,320,t
1975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1708,1708,0,0,0,1,98,v
1977,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3791,3791,1,0,1,1,98,t
1987,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1710,2982,0,0,1,1,145,v
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,695,695,1,0,0,1,58,t
1996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1701,1701,1,0,0,1,30,v
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,525,2914,1,1,0,1,489,t
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2081,2438,0,1,0,1,1416,v
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1879,1914,1,1,1,1,130,t
22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1928,1983,0,1,0,1,161,t
25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3613,3655,1,1,0,1,131,t
30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3744,3745,0,1,0,1,354,t
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2478,3103,0,1,0,1,185,t
42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,0,1,0,1,34,t
43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1318,2310,0,1,1,1,161,t
45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2752,3914,0,1,0,1,638,v
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3338,3338,0,1,1,1,159,t
51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2226,2899,0,1,0,1,232,v
55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1170,1170,1,1,0,1,375,v
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3338,4127,0,1,0,1,109,t
61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2957,3278,1,1,0,1,136,s
63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2908,3544,0,1,0,1,261,t
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,1,1,0,1,43,s
65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1408,3746,0,1,1,1,389,t
68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,479,2107,1,1,0,1,394,v
69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1470,3242,0,1,0,1,588,s
77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,1,0,1,160,v
78,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,541,2862,1,1,1,1,50,s
81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2508,2508,0,1,0,1,233,s
